strdrink,num_ingredients,total_ounces,cost,ounces_alcohol,weighted_abv,oz_alc_per_dollar
1-900-FUK-MEUP,8,2.5,5.102103604998966,0.425,0.16999999999999998,0.08329897487451866
110 in the shade,2,17.5,0.75968730900416,1.4000000000000001,0.08,1.8428634826547217
151 Florida Bushwacker,8,15.5,4.623515625,1.05,0.06774193548387097,0.22709991382369343
155 Belmont,4,7.5,1.4945566999731508,2.4000000000000004,0.32000000000000006,1.6058273333110182
24k nightmare,4,2.0,2.1950000000000003,0.375,0.1875,0.1708428246013667
252,2,1.5,1.6,0.6000000000000001,0.4000000000000001,0.37500000000000006
3 Wise Men,3,0.99,3.9699999999999998,0.495,0.5,0.12468513853904283
3-Mile Long Island Iced Tea,9,4.08,5.566719644570531,1.3250000000000002,0.3247549019607843,0.23802168684610003
410 Gone,2,3.5,0.4313673761854065,0.875,0.25,2.028433415010771
50/50,3,3.7,1.4993917405921862,0.905,0.2445945945945946,0.6035780880335978
57 Chevy with a White License Plate,2,2.0,1.391844835566371,0.55,0.275,0.39515899038860425
69 Special,3,6.75,0.9253993644067797,1.0,0.14814814814814814,1.0806145308312833
747,3,0.99,2.71,0.18480000000000002,0.18666666666666668,0.0681918819188192
747 Drink,4,4.0,0.6319560643799303,0.4,0.1,0.6329553944426128
9 1/2 Weeks,4,3.7,2.499391740592186,0.8049999999999999,0.21756756756756754,0.32207836287770947
A Day at the Beach,4,6.0,2.1327118644067795,0.47500000000000003,0.07916666666666668,0.2227211316856076
A Furlong Too Late,3,6.07,0.8646875,0.8,0.13179571663920922,0.9251897361763642
A Gilligan's Island,4,8.0,0.9912685643799304,0.4,0.05,0.4035233380473561
A Night In Old Mandalay,6,6.57,1.5701112288135592,0.8,0.12176560121765602,0.5095180426195111
A Piece of Ass,4,8.0,1.6985250653361843,0.8250000000000001,0.10312500000000001,0.48571552862937006
A Splash of Nash,4,5.0,2.184772922878528,0.15,0.03,0.06865702079572134
A True Amaretto Sour,4,4.0,1.678,0.22499999999999998,0.056249999999999994,0.134088200238379
A midsummernight dream,5,9.17,2.1505323355663712,1.1755,0.1281897491821156,0.5466088468232292
A. J.,2,2.5,0.49671186440677967,0.5249999999999999,0.20999999999999996,1.056950795059032
A.D.M. (After Dinner Mint),4,2.75,2.023602648066371,0.5750000000000001,0.2090909090909091,0.2841466928052473
A1,4,4.69,2.4207118644067798,1.5350000000000001,0.3272921108742004,0.6341109913038607
ABC,3,0.99,4.170396226415095,0.2376,0.24000000000000002,0.056973003786799134
ACID,2,2.0,1.6,0.8,0.4,0.5
AT&T,3,6.0,1.8658865022330378,0.9,0.15,0.48234445070635684
Abbey Cocktail,4,2.77,3.1955,0.758,0.2736462093862816,0.23720857455797215
Abbey Martini,4,6.06,3.8382118644067797,1.7489999999999999,0.2886138613861386,0.4556809425292939
Abilene,3,6.5,0.7054237288135593,0.6000000000000001,0.09230769230769233,0.8505526189332053
Absinthe #2,5,30.349999999999998,3.55796343394912,10.16,0.33476112026359145,2.85556616547996
Absolut Evergreen,4,6.0,1.5166798761854066,0.30379999999999996,0.05063333333333333,0.20030594772845917
Absolut Sex,4,2.7,1.5340792405921861,0.37499999999999994,0.13888888888888887,0.24444630373541998
Absolut Stress #2,5,5.5,1.9912685643799306,0.675,0.12272727272727274,0.3389798905453977
Absolut Summertime,5,6.25,0.9584284346571552,0.5249999999999999,0.08399999999999999,0.5477717281914748
Absolut limousine,4,3.0,1.2034334072588528,0.2345,0.07816666666666666,0.19485914100900487
